project,fire,site,lat,lon,tran,sample,age,Age.Class,decid.dens,decid.bio,spruce.dens,spruce.bio,rel.decid.dens,rel.decid.bio,new.bio.dens,traj.20,treesnagsolC,aboveC,belowC,treesnagsolN,aboveN,belowN,treesnagsolCN,aboveCN,belowCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,WD78,WD4,65.18324,-147.86644,4,1,31,> 20 years,0.95,595.3,1.62,347.51,0.369649805,0.631410358,0.500530082,Mixed,3575.47,676.806,2898.665,90.82,5.2027984,85.63956,39.36896734,130.0849943,33.84726638,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,WD78,WD5,65.18272,-147.86831,5,1,31,> 20 years,0.02,1.9,1.75,304.21,0.011299435,0.006206919,0.008753177,Spruce,6971.95,352.034,6619.911,219.8,1.7724416,218.171692,31.71951516,198.6152887,30.342667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,WD78,WD6,65.18186,-147.86705,6,1,31,> 20 years,0.18,34.2,2.71,482.14,0.062283737,0.066235426,0.064259582,Spruce,5117.25,326.09,4791.169,152.97,2.540048,150.433268,33.45279739,128.3794637,31.84913194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,WD78,WD7,65.1826,-147.87028,7,1,31,> 20 years,0.81,521.19,0.67,190.11,0.547297297,0.732728806,0.640013052,Mixed,3849.14,515.914,3333.223,100.57,3.6097456,97.007784,38.27490164,142.9225373,34.36036638,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,WF71,WF1,65.18122746,-147.9725705,1,1,37,> 20 years,0,0,0.38,469.15,0,0,0,Spruce,3567.57,191.638,3375.931,115.72,1.0892032,114.634852,30.82976814,175.9432951,29.44942957,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,WF71,WF2,65.17732711,-147.9799576,2,1,37,> 20 years,0.92,4215.8,0.68,454.74,0.575,0.902636526,0.738818263,Deciduous,5153.85,2116.662,3037.184,113.4,14.1420688,99.350352,45.44768361,149.6713126,30.57044025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,WF71,WF3,65.1676559,-147.9547346,3,1,37,> 20 years,0.28,693.51,3.34,403.56,0.077348066,0.632147447,0.354747757,Mixed,5849.95,504.424,5345.523,145.74,3.1672816,142.598024,40.13881889,159.2608627,37.4866555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,WF71,WF4,65.16617,-147.9603,4,1,39,> 20 years,0.25,7204.79,0.23,273.07,0.520833333,0.963482868,0.742158101,Deciduous,8283.81,4107.332,4176.484,164.07,24.4211568,140.030512,50.48909132,168.1874464,29.82552831,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFSP,BF,BF58,65.29,-146.55,BF58,2,81,> 20 years,0.016666667,1128.718055,0.27,2586.094633,0.058139536,0.303842522,0.180991029,Spruce,5536.260991,628.6446283,4762.016058,159.629329,1.7708287,155.552333,34.68197873,355.0002484,30.61359458,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFSP,BF,BF59,65.29,-146.55,BF59,2,86,> 20 years,0,0,0.58,3290.374598,0,0,0,Spruce,9439.025623,1412.940838,7097.68054,247.73747,2.890359943,235.059498,38.10092039,488.8459797,30.19525099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFSP,BF,BF60,65.29,-146.55,BF60,2,85,> 20 years,0.011111111,469.0291377,0.14,917.1830023,0.073529411,0.338353073,0.205941242,Spruce,6992.172355,703.5815917,6269.267522,210.7722838,2.533551521,206.859913,33.17405984,277.7056578,30.30682664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFSP,BF,BF61,65.35,-146.67,BF61,2,69,> 20 years,0,0,0.47,1937.084934,0,0,0,Spruce,7059.768613,792.7885508,6050.22378,166.5081947,2.215760808,161.05138,42.39892594,357.7951862,37.5670409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFSP,BF,BF64,65.3,-146.72,BF64,2,67,> 20 years,0,0,0.19,3695.120489,0,0,0,Spruce,7953.811678,172.9187083,7684.473095,256.8376177,0.375598108,255.034204,30.96825049,460.3822666,30.13114702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFSP,BF,BF65,65.3,-146.72,BF65,2,60,> 20 years,0.016666667,422.0531691,0.55,2389.88073,0.029411765,0.15009356,0.089752663,Spruce,6813.883926,864.418455,5590.429076,190.7488897,2.583099884,183.751919,35.72174883,334.6438364,30.42378608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFSP,BF,BF68,65.28,-146.74,BF68,2,73,> 20 years,0.016666667,362.1870133,0.3,1328.535757,0.05263158,0.214220226,0.133425903,Spruce,6504.789867,269.465345,6062.164267,202.121274,0.53831359,199.810016,32.18260869,500.5731789,30.33964157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFSP,BF,BF70,65.12,-147.43,BF70,2,87,> 20 years,0,0,0.77,2685.17384,0,0,0,Spruce,8565.717655,840.1406717,7534.898522,255.681393,2.306333948,249.942613,33.5015292,364.2753784,30.14651416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFSP,BF,BF71,65.12,-147.43,BF71,2,90,> 20 years,0,0,0.97,1865.737191,0,0,0,Spruce,6952.575,531.681495,6062.164267,205.2585038,1.06825899,199.810016,33.87228724,497.7084209,30.33964157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFSP,BF,BF72,65.12,-147.43,BF72,2,90,> 20 years,0.016666667,380.502505,0.65,2598.734663,0.025,0.127718098,0.076359049,Spruce,8195.800604,1208.43841,6326.796204,219.3565977,2.47411392,208.818217,37.36290903,488.4328083,30.29810471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFSP,BF,BF73,65.12,-147.45,BF73,2,92,> 20 years,0.016666667,166.8316168,0.97,1999.429319,0.016891892,0.077013629,0.046952761,Spruce,8151.168925,864.7373917,7166.714958,243.4121622,3.230462064,237.409463,33.4871062,267.6822617,30.18714952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFSP,BF,BF75,65.12,-147.47,BF75,2,79,> 20 years,0,0,0.38,3416.19188,0,0,0,Spruce,9241.013084,1056.42278,8087.173867,274.3704616,3.30189104,268.742336,33.68078703,319.9447732,30.0926679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
